ID,period,price,unitp,area,room,bath,terrace,aircon,parking,north,south,east,west,swimpool,garden,duplex,studio,topfloor,conyr,maxfloor,dcount,quality,newdev,dist_city_centre,dist_metro,long,lat
A907300558802067643,201803,199000,4975,40,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1942,6,12,5,0,1.398593059,0.310724012,-3.715962955,40.42507325
A13411958083059865310,201812,1007000,3323.432343,303,5,3,0,1,0,0,0,0,0,0,0,0,0,0,1987,7,30,3,0,1.93485503,0.294356119,-3.719110209,40.42947715
A5928419389206499436,201812,815000,4289.473684,190,7,3,0,1,0,0,1,1,1,0,0,0,0,0,1960,6,9,4,0,1.395761745,0.280323338,-3.71569375,40.4252551
A2421936011349346489,201812,851000,4297.979798,198,4,2,0,1,0,0,0,0,0,0,0,0,0,0,1942,8,30,5,0,1.828779766,0.387144519,-3.71916645,40.42811644
A9424037358246027867,201812,1685000,6017.857143,280,4,5,0,1,1,0,0,1,1,1,0,0,0,0,1981,7,18,3,0,1.641793013,0.219534891,-3.715197752,40.42851043
A16706937490907901000,201803,908000,4472.906404,203,5,2,1,0,0,0,0,0,0,0,0,0,0,0,1945,6,8,4,0,1.599645853,0.19627711,-3.71548568,40.427869
A16072360754161094638,201812,445000,5235.294118,85,2,2,0,1,0,0,0,0,1,0,0,0,0,0,1960,6,13,4,0,1.664082971,0.307564522,-3.716957281,40.42767971
A16857828782362533691,201812,853000,3599.156118,237,3,2,0,0,0,0,0,1,0,0,0,0,0,0,1964,7,15,3,0,1.4662355,0.157394478,-3.715129702,40.42653787
A13801805535145116232,201812,1466000,4639.240506,316,5,4,0,1,0,1,1,1,1,0,0,0,0,0,1930,8,20,5,0,1.880453734,0.402397065,-3.719699605,40.42836537
A16199030426875221331,201812,1214000,7141.176471,170,3,2,1,1,1,0,1,1,1,0,0,0,0,0,1960,7,17,3,0,1.550726961,0.397166298,-3.717701865,40.42563905
A15379282056251346958,201812,489000,4890,100,4,2,0,1,0,0,0,1,1,0,0,0,0,0,1932,7,29,4,0,2.252220666,0.38059933,-3.721210661,40.43186947
A12391842844123131629,201812,271000,3613.333333,75,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1993,6,66,4,0,1.368761074,0.570369008,-3.71785848,40.42262906
A749446280074327690,201812,353000,4835.616438,73,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1970,17,417,2,0,1.20954767,0.225054126,-3.713107493,40.42482063
A13742715086084150066,201812,972000,6000,162,3,2,0,1,0,0,1,0,0,0,0,0,0,0,1996,5,32,4,0,2.081965685,0.212573409,-3.717851233,40.43192642
A8139677723744543084,201812,193000,3063.492063,63,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1920,3,34,5,0,1.263113574,0.553677091,-3.717233395,40.42148879
A1415567845871234138,201812,889000,6006.756757,148,3,2,0,0,0,0,0,1,0,0,0,0,0,0,1940,8,28,4,0,1.851487401,0.376456535,-3.719263058,40.42833205
